"","freq","prev","p.freq","p.prev","p","contaminant"
"ASV_191",0.000564910412867291,20,NA,0.125,0.125,FALSE
"ASV_192",0.000670085217866679,49,NA,0.5,0.5,FALSE
"ASV_193",0.00067953494300184,84,NA,0.190476190476191,0.190476190476191,FALSE
"ASV_194",0.00059415555708123,106,NA,0.2,0.2,FALSE
"ASV_195",0.000635970959402678,16,NA,0.596774193548387,0.596774193548387,FALSE
"ASV_196",0.000612969593374857,39,NA,0.125,0.125,FALSE
"ASV_197",0.000453375469520377,79,NA,0.125,0.125,FALSE
"ASV_198",0.000436998586142761,67,NA,0.5,0.5,FALSE
"ASV_200",0.000310050409638999,48,NA,0.076923076923077,0.076923076923077,TRUE
"ASV_201",0.000505293460553411,70,NA,0.25,0.25,FALSE
"ASV_202",0.000182715190084951,26,NA,0.564516129032258,0.564516129032258,FALSE
"ASV_203",0.000266471297719704,55,NA,0.0833333333333333,0.0833333333333333,TRUE
"ASV_204",0.000182173739572952,33,NA,0.596774193548387,0.596774193548387,FALSE
"ASV_205",0.000645094698566365,47,NA,0.0833333333333333,0.0833333333333333,TRUE
"ASV_206",0.000412009918335214,32,NA,0.564516129032258,0.564516129032258,FALSE
"ASV_207",0.000455122388738361,29,NA,0.564516129032258,0.564516129032258,FALSE
"ASV_208",0.000273684375797849,17,NA,0.0483870967741934,0.0483870967741934,TRUE
"ASV_209",0.000328583395441827,36,NA,0.571428571428571,0.571428571428571,FALSE
"ASV_210",0.000381931062857675,28,NA,0.25,0.25,FALSE
"ASV_211",0.000504638588815903,71,NA,0.547619047619048,0.547619047619048,FALSE
"ASV_212",0.000141369819598061,41,NA,0.611111111111111,0.611111111111111,FALSE
"ASV_213",0.000525396118668493,11,NA,0.532258064516129,0.532258064516129,FALSE
"ASV_214",0.000572683990864199,141,NA,0.384615384615385,0.384615384615385,FALSE
"ASV_215",0.00052715971233395,125,NA,0.285714285714286,0.285714285714286,FALSE
"ASV_216",0.00055968165292627,34,NA,0.0476190476190476,0.0476190476190476,TRUE
"ASV_217",0.0005788247200884,126,NA,0.333333333333333,0.333333333333333,FALSE
"ASV_218",0.000121002168813336,31,NA,0.0476190476190476,0.0476190476190476,TRUE
"ASV_219",0.000222717486248305,25,NA,0.0833333333333333,0.0833333333333333,TRUE
"ASV_220",0.000269679487356341,12,NA,0.625,0.625,FALSE
"ASV_221",0.000101388578681045,8,NA,0.532258064516129,0.532258064516129,FALSE
"ASV_222",0.000551428396364916,103,NA,0.166666666666667,0.166666666666667,FALSE
"ASV_223",0.000765854162083695,44,NA,0.0714285714285714,0.0714285714285714,TRUE
"ASV_224",0.000404302141275301,48,NA,0.208333333333333,0.208333333333333,FALSE
"ASV_225",0.000502936314547626,109,NA,0.261904761904762,0.261904761904762,FALSE
"ASV_226",0.000368988120781586,26,NA,0.547619047619048,0.547619047619048,FALSE
"ASV_227",0.000496952374692512,78,NA,0.0714285714285714,0.0714285714285714,TRUE
"ASV_228",0.000568623180671488,32,NA,0.548387096774194,0.548387096774194,FALSE
"ASV_229",0.000496508920009113,133,NA,0.333333333333333,0.333333333333333,FALSE
"ASV_232",0.00048651024526876,25,NA,0.0476190476190476,0.0476190476190476,TRUE
