"","freq","prev","p.freq","p.prev","p","contaminant"
"ASV_4531",1.81452822324807e-05,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_4532",1.24852437139704e-05,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_4533",1.64573642696031e-05,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4534",6.72941187761849e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4535",2.4574704888098e-06,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_4538",1.20191379583968e-05,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4539",2.83653464395831e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4541",1.45601099359004e-05,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_4544",4.95692965327223e-05,7,NA,0.552984637641224,0.552984637641224,FALSE
"ASV_4545",7.62239025333564e-06,10,NA,0.574495384403417,0.574495384403417,FALSE
"ASV_4546",1.02458251129951e-05,7,NA,0.552984637641224,0.552984637641224,FALSE
"ASV_4547",1.02519482288464e-05,10,NA,0.574495384403417,0.574495384403417,FALSE
"ASV_4548",7.30797063079078e-06,8,NA,0.560233535409204,0.560233535409204,FALSE
"ASV_4549",8.66963648309951e-06,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_4550",2.15865744786609e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4551",8.36734774228884e-06,12,NA,0.588445508404519,0.588445508404519,FALSE
"ASV_4552",4.19334213352578e-05,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4554",3.2635952722991e-05,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_4555",7.21822230940913e-06,2,NA,0.515543193717278,0.515543193717278,FALSE
"ASV_4556",9.77125590310692e-06,7,NA,0.552984637641224,0.552984637641224,FALSE
"ASV_4557",9.99567810504731e-06,11,NA,0.581509196748416,0.581509196748416,FALSE
"ASV_4558",8.05473359242265e-06,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_4559",8.24807820768789e-06,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4560",6.90148790033906e-06,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_4562",1.12573491078479e-05,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4567",3.12081953989204e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4568",2.40591438394076e-05,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4569",1.73507964643967e-05,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_4570",1.02157453062431e-05,7,NA,0.552984637641224,0.552984637641224,FALSE
"ASV_4571",8.52738476141093e-06,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_4572",1.08319176183408e-05,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_4573",1.135461735317e-05,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4574",5.49063561356727e-06,2,NA,0.515543193717278,0.515543193717278,FALSE
"ASV_4576",8.51547869453348e-06,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_4577",1.11998652350571e-05,12,NA,0.588445508404519,0.588445508404519,FALSE
"ASV_4578",1.34991245846281e-05,11,NA,0.581509196748416,0.581509196748416,FALSE
"ASV_4579",9.37636523267657e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4580",1.04220923181088e-05,8,NA,0.560233535409204,0.560233535409204,FALSE
"ASV_4581",1.4767907330842e-05,10,NA,0.574495384403417,0.574495384403417,FALSE
"ASV_4584",2.79682371841051e-05,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4585",7.85739587819258e-06,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4586",1.06919035948064e-05,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4588",1.39604052857317e-05,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4589",1.92858303501388e-05,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_4590",8.84441034482067e-06,7,NA,0.552984637641224,0.552984637641224,FALSE
"ASV_4591",1.38062377861857e-05,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4592",2.69752085271459e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_4593",2.33868136101393e-05,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_4595",3.24985812877232e-06,7,NA,0.552984637641224,0.552984637641224,FALSE
"ASV_4596",2.57847872527831e-05,2,NA,0.515543193717278,0.515543193717278,FALSE
"ASV_4601",1.30711704562727e-05,3,NA,0.523192511711215,0.523192511711215,FALSE
